
32, 14, 18, 24, 18, 32, 33
35, 16, 5, 40, 28, 17, 32
29, 5, 9, 21, 22, 34, 7
22, 30, 31, 13, 11, 14, 18
10, 40, 12, 34, 28, 15, 39
[23], [15], [9], [10], [22], [31], [19]
[17], [6], [1], [28], [25], [13], [1]
[4], [2], [5], [9], [7], [1], [7]
[4], [5], [8], [8], [5], [1], [6]
[22, 33, 27, 30, 19, 32, 13]
[11, 14, 24, 13, 5, 31, 8]
[5, 38, 6, 19, 13, 27, 28]
[3, 4, 8, 5, 2, 1, 9]
[8, 5, 1, 7, 9, 3, 6]
[7, 5, 2, 9, 6, 3, 4]
[4, 5, 2, 6, 8, 1, 3]
[[19, 4, 13, 16, 29, 8, 39]]
[[20, 4, 1, 6, 17, 5, 16]]
8, 3, 10, 27, 26, 34, 6
35, 25, 37, 39, 8, 6, 18
9, 7, 39, 21, 15, 38, 22
4, 34, 6, 17, 10, 15, 13
7, 36, 13, 19, 39, 30, 34
24, 29, 20, 14, 27, 23, 30
23, 28, 15, 10, 35, 12, 7
25, 22, 15, 28, 34, 36, 33
18, 11, 3, 22, 9, 10, 13
10, 18, 29, 12, 11, 27, 20
22, 39, 20, 33, 31, 17, 4
32, 10, 35, 16, 12, 24, 20
